Player,Team,Agent 1,Agent 2,Agent 2,RND,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,,KMAX,K,D,A,FK,FD
something,PRX,https://www.vlr.gg/img/vlr/game/agents/jett.png,https://www.vlr.gg/img/vlr/game/agents/breach.png,https://www.vlr.gg/img/vlr/game/agents/reyna.png,432,1.21,224.9,1.37,78%,141.7,0.83,0.22,0.17,0.11,23%,25%,9/1/1936,Sep-36,30,357,261,97,75,49
d4v41,PRX,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/killjoy.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,522,1.21,203.1,1.28,80%,132.5,0.74,0.41,0.06,0.06,24%,15%,11/1/1972,Nov-72,23,388,303,216,33,29
MaKo,DRX,https://www.vlr.gg/img/vlr/game/agents/omen.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/brimstone.png,637,1.19,212.3,1.17,77%,138.7,0.72,0.48,0.08,0.07,25%,24%,16/67,16/67,20,456,391,304,50,47
Monyet,GE,https://www.vlr.gg/img/vlr/game/agents/omen.png,https://www.vlr.gg/img/vlr/game/agents/astra.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,361,1.16,231.8,1.18,75%,148.7,0.83,0.42,0.11,0.09,28%,21%,8/1/1938,Aug-38,39,299,253,151,41,33
f0rsakeN,PRX,https://www.vlr.gg/img/vlr/game/agents/yoru.png,https://www.vlr.gg/img/vlr/game/agents/neon.png,https://www.vlr.gg/img/vlr/game/agents/jett.png,522,1.14,233.4,1.19,76%,149.5,0.82,0.3,0.16,0.09,27%,15%,4/27/2024,24-Apr,26,426,357,156,85,49
BuZz,DRX,https://www.vlr.gg/img/vlr/game/agents/kayo.png,https://www.vlr.gg/img/vlr/game/agents/killjoy.png,https://www.vlr.gg/img/vlr/game/agents/raze.png,601,1.13,223.9,1.16,73%,145.1,0.79,0.27,0.12,0.12,23%,14%,10/1/1969,Oct-69,36,474,409,162,71,72
Sayaplayer,T1,,,,638,1.13,241,1.28,72%,158.5,0.86,0.15,0.19,0.16,26%,18%,11/1/1960,Nov-60,27,550,431,98,124,105
Jinggg,PRX,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/phoenix.png,https://www.vlr.gg/img/vlr/game/agents/sage.png,504,1.1,223.2,1.13,74%,148.9,0.77,0.27,0.13,0.1,16%,20%,6/30/2024,24-Jun,29,387,341,137,63,51
Sylvan,GEN,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,https://www.vlr.gg/img/vlr/game/agents/fade.png,204,1.09,204.3,1.05,77%,131.9,0.7,0.37,0.11,0.06,24%,16%,6/1/1938,Jun-38,21,143,136,76,22,12
Suggest,DFM,https://www.vlr.gg/img/vlr/game/agents/jett.png,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/killjoy.png,253,1.08,232.5,1.09,74%,155.2,0.8,0.2,0.12,0.1,29%,7%,2/28/2024,24-Feb,29,202,185,51,30,25
Munchkin,T1,,,,638,1.07,210.6,1.15,71%,141.2,0.75,0.2,0.09,0.1,21%,20%,17/86,17/86,26,477,414,130,58,65
xeta,T1,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/harbor.png,https://www.vlr.gg/img/vlr/game/agents/breach.png,638,1.07,197.3,1.05,77%,126.9,0.68,0.37,0.07,0.06,21%,14%,11/1/1977,Nov-77,21,431,412,234,42,36
