Player,Team,Agent 1,Agent 2,Agent 2.1,RND,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,KMAX,K,D,A,FK,FD,CW,PLY
something,PRX,jett,breach,reyna,432,1.21,224.9,1.37,0.78,141.7,0.83,0.22,0.17,0.11,0.23,0.25,30,357,261,97,75,49,9,36
d4v41,PRX,sova,killjoy,skye,522,1.21,203.1,1.28,0.8,132.5,0.74,0.41,0.06,0.06,0.24,0.15,23,388,303,216,33,29,1,72
MaKo,DRX,omen,viper,brimstone,637,1.19,212.3,1.17,0.77,138.7,0.72,0.48,0.08,0.07,0.25,0.24,20,456,391,304,50,47,1,67
Monyet,RRQ,omen,astra,viper,361,1.16,231.8,1.18,0.75,148.7,0.83,0.42,0.11,0.09,0.28,0.21,39,299,253,151,41,33,8,38
f0rsakeN,PRX,yoru,neon,jett,522,1.14,233.4,1.19,0.76,149.5,0.82,0.3,0.16,0.09,0.27,0.15,26,426,357,156,85,49,4,24
BuZz,DRX,kayo,killjoy,raze,601,1.13,223.9,1.16,0.73,145.1,0.79,0.27,0.12,0.12,0.23,0.14,36,474,409,162,71,72,1,69
Sayaplayer,T1,,,,638,1.13,241,1.28,0.72,158.5,0.86,0.15,0.19,0.16,0.26,0.18,27,550,431,98,124,105,1,60
Jinggg,PRX,raze,phoenix,sage,504,1.1,223.2,1.13,0.74,148.9,0.77,0.27,0.13,0.1,0.16,0.2,29,387,341,137,63,51,6,24
Sylvan,GEN,sova,skye,fade,204,1.09,204.3,1.05,0.77,131.9,0.7,0.37,0.11,0.06,0.24,0.16,21,143,136,76,22,12,6,38
Suggest,DFM,jett,raze,killjoy,253,1.08,232.5,1.09,0.74,155.2,0.8,0.2,0.12,0.1,0.29,0.07,29,202,185,51,30,25,2,24
Munchkin,GEN,,,,638,1.07,210.6,1.15,0.71,141.2,0.75,0.2,0.09,0.1,0.21,0.2,26,477,414,130,58,65,1,86
xeta,T1,sova,harbor,breach,638,1.07,197.3,1.05,0.77,126.9,0.68,0.37,0.07,0.06,0.21,0.14,21,431,412,234,42,36,1,77
invy,TS,kayo,breach,skye,474,1.06,203.4,0.99,0.73,130.9,0.72,0.5,0.09,0.08,0.29,0.18,26,339,344,235,42,39,9,50
mindfreak,PRX,omen,viper,astra,522,1.05,172.4,1.02,0.76,106.9,0.61,0.44,0.06,0.08,0.28,0.11,20,319,312,230,32,40,7,62
k1Ng,T1,,,,451,1.04,209.4,1.08,0.71,140.7,0.74,0.22,0.1,0.11,0.27,0.18,26,335,311,97,44,51,1,61
xffero,RRQ,fade,skye,sova,392,1.03,202.6,1.04,0.72,128.5,0.72,0.31,0.09,0.06,0.23,0.15,29,284,272,123,34,25,9,61
t3xture,GEN,jett,raze,sage,341,1.03,219.8,1.1,0.72,139.5,0.79,0.16,0.14,0.12,0.28,0.21,28,268,243,56,47,40,9,42
Laz,ZETA,sova,skye,fade,386,1.03,196.8,1.06,0.71,131.3,0.7,0.31,0.08,0.06,0.27,0.17,31,269,254,118,30,23,1,58
SugarZ3ro,ZETA,omen,viper,astra,386,1.02,205.5,1.02,0.71,131.3,0.73,0.43,0.05,0.07,0.26,0.11,27,282,276,166,20,26,5,47
BORKUM,TS,omen,viper,brimstone,491,1.02,186.4,0.95,0.75,119.8,0.64,0.45,0.07,0.09,0.2,0.16,24,316,332,223,32,42,1,64
Bazzi,GE,skye,fade,sova,361,1.01,189.6,0.93,0.76,123.5,0.63,0.49,0.04,0.04,0.18,0.14,25,226,243,176,16,15,8,59
Foxy9,DRX,,,,374,1,224.2,1.08,0.68,139.4,0.78,0.16,0.24,0.21,0.26,0.14,25,291,269,58,88,78,3,24
Zest,DRX,sova,fade,brimstone,299,1,177.5,0.96,0.73,111.8,0.65,0.32,0.06,0.06,0.35,0.16,19,194,202,95,18,19,7,44
DubsteP,TS,jett,killjoy,cypher,491,0.98,198.3,1.03,0.69,132.8,0.71,0.15,0.11,0.13,0.26,0.19,23,351,341,75,56,62,1,75
Rb,DRX,killjoy,harbor,astra,637,0.98,181,0.96,0.74,117.3,0.63,0.32,0.08,0.08,0.25,0.2,28,400,415,204,54,52,1,82
GodDead,GEN,breach,kayo,sage,451,0.98,189.1,0.87,0.72,120.8,0.63,0.46,0.07,0.09,0.2,0.13,22,285,328,209,31,41,4,32
Carpe,T1,kayo,breach,skye,638,0.98,178.3,0.89,0.76,112.6,0.62,0.46,0.06,0.07,0.22,0.18,27,393,440,296,39,45,9,51
Seoldam,DFM,,,,231,0.97,228.2,0.95,0.67,137.3,0.76,0.17,0.24,0.21,0.16,0,23,176,185,39,55,49,0,18
2ge,TS,brimstone,omen,astra,271,0.96,164.8,0.88,0.73,110.1,0.59,0.39,0.03,0.07,0.28,0.13,17,161,182,106,9,20,5,38
fl1pzjder,RRQ,breach,kayo,skye,392,0.96,182,0.85,0.7,115.2,0.62,0.48,0.08,0.07,0.27,0.12,24,242,285,189,32,29,6,50
stax,DRX,kayo,skye,fade,637,0.96,175.8,0.85,0.72,111.8,0.6,0.46,0.06,0.08,0.28,0.09,21,382,449,294,37,51,5,53
foxz,TLN,fade,sova,kayo,303,0.96,191.7,0.95,0.72,128.5,0.67,0.33,0.09,0.1,0.26,0.16,22,204,214,100,27,29,6,38
takej,DFM,viper,omen,brimstone,332,0.96,180.5,0.9,0.73,118.1,0.64,0.38,0.09,0.08,0.33,0.14,24,211,235,127,30,27,8,58
Dep,ZETA,,,,386,0.95,224.4,0.98,0.65,142.4,0.78,0.16,0.18,0.19,0.2,0.1,24,300,305,60,71,72,3,24
JitBoyS,TLN,kayo,breach,raze,282,0.95,185.4,0.9,0.7,124.9,0.66,0.28,0.07,0.1,0.28,0.14,27,187,207,80,20,28,6,42
Meteor,GEN,,,,451,0.95,208.5,0.96,0.7,138.9,0.72,0.21,0.15,0.16,0.21,0.14,22,324,339,95,69,70,5,36
JessieVash,TS,sova,fade,cypher,491,0.94,175.4,0.89,0.7,117.5,0.61,0.34,0.07,0.07,0.23,0.19,22,298,333,167,33,35,1,63
TS,GEN,,,,451,0.94,183.5,0.88,0.73,111.8,0.62,0.46,0.09,0.1,0.21,0.05,20,281,319,207,40,43,3,55
Lmemore,RRQ,cypher,killjoy,viper,392,0.94,208.6,0.99,0.7,140.3,0.73,0.17,0.13,0.13,0.34,0.05,24,285,288,67,52,49,2,42
Jremy,TS,killjoy,sage,raze,491,0.94,220.4,0.94,0.71,143.5,0.73,0.22,0.15,0.16,0.18,0.18,22,359,381,107,73,78,7,39
EJAY,RRQ,,,,392,0.93,209.8,0.98,0.71,137.7,0.74,0.18,0.15,0.16,0.2,0.13,23,290,295,70,60,64,3,24
Anthem,DFM,skye,kayo,breach,332,0.93,179.4,0.86,0.74,122.5,0.6,0.37,0.05,0.1,0.26,0.15,22,199,232,122,16,34,7,46
Crws,TLN,astra,viper,brimstone,303,0.92,193.5,0.9,0.69,128.3,0.66,0.38,0.07,0.09,0.22,0.13,22,199,221,114,22,27,5,38
ban,TLN,omen,jett,viper,564,0.92,180,0.92,0.71,113.1,0.64,0.29,0.12,0.09,0.24,0.17,24,363,395,165,67,52,9,54
eKo,GEN,,,,247,0.92,167.3,0.89,0.72,110,0.61,0.36,0.05,0.06,0.25,0.15,22,150,169,89,13,15,7,47
Patiphan,TLN,sage,harbor,astra,287,0.9,198.9,0.89,0.65,135.4,0.68,0.33,0.09,0.11,0.25,0.11,24,196,221,94,27,33,3,24
Reita,DFM,killjoy,cypher,sova,220,0.9,179.5,0.86,0.72,124.9,0.63,0.33,0.07,0.07,0.29,0,20,138,160,73,15,15,0,21
garnetS,TLN,jett,neon,raze,223,0.9,209,0.87,0.72,140.3,0.69,0.2,0.17,0.16,0.22,0.05,24,153,175,44,37,36,1,24
xnfri,DFM,harbor,omen,brimstone,292,0.89,167.9,0.77,0.73,111.3,0.57,0.47,0.05,0.08,0.25,0.1,20,165,214,137,14,23,3,24
AYRIN,GE,killjoy,viper,harbor,361,0.88,170.6,0.81,0.68,111.4,0.58,0.29,0.07,0.1,0.2,0.15,18,209,257,103,24,35,6,39
TENNN,ZETA,killjoy,viper,raze,386,0.86,191.7,0.87,0.73,123.3,0.65,0.19,0.12,0.13,0.2,0.15,22,250,289,75,46,52,6,39
crow,ZETA,kayo,harbor,breach,386,0.83,152.4,0.74,0.72,102,0.52,0.41,0.04,0.07,0.24,0.12,17,199,269,157,17,28,6,52
